"Brand Information","Información de Marca"
"Page Title","Título de la página"
"If empty, option label by store will be used.","Si está vacía, se utilizará la opción label by store."
"Url Key","Clave de Url"
"Brand Image","Imagen de marca"
"If empty, option visual image or default image from configuration will be used.","Si está vacía, se utilizará la imagen visual opcional o la imagen predeterminada de la configuración."
"Featured","Destacados"
"Enabled","Habilitado"
"Disabled","Deshabilitado"
"If 'Enabled', this brand will be displayed on featured brand slider.","Si está activada, esta marca se mostrará en el deslizador de la marca."
"Short Description","Descripción breve"
"Description","Descripción"
"CMS Block","Bloque de CMS"
"Meta Information","Meta informacion"
"Meta Title","Meta Título"
"Meta Keywords","Meta Palabras Clave"
"Meta Description","Meta Descripción"
"Home","Inicio"
"Go to Home Page","Ir a la Página de Inicio"
"Brands","Marcas"
"Brand option has been saved successfully.","La opción de marca se ha guardado correctamente."
"Attribute option does not exist.","La opción de atributo no existe."
"-- Please select --","- Por favor seleccione -"
"Toplink","Enlace Superior"
"Footerlink","Enlace Pie de Página"
"Category","Categoría"
"Logo Only","Sólo Logo"
"Logo and Label","Logo y Etiqueta"
"-- Please Select --","- Por Favor Selecciona -"
"There is no sample file for this entity.","No hay ningún archivo de ejemplo para esta entidad."
"Sort Option","Opción de Clasificación"
"Setting","Ajuste"
"Delete","Borrar"
"Choose a color","Elige un color"
"Upload a file","Cargar un archivo"
"Clear","Limpiar"
"All","Todas"
"label' 'char","Etiqueta"
"There is no brand available.","No hay marca disponible."
"Search a brand name","Buscar una marca"
"Search","Buscar"
"Brand Configuration","Configuración de Marca"
"Save","Guardar"
"Cancel","Cancelar"
"Shop by brand","Compra por Marca"
"General","General"
"Enable","Habilitar"
"Brand Attribute","Atributo de Marca"
"Brand Link Title","Título de la Marca"
"Show Brand Link In","Mostrar vínculo de marca en"
"All Brands Page Settings","Configuración de todas las marcas de página"
"Brand route","Ruta de la marca"
"Brand list name","Nombre de la lista de marcas"
"Display Option","Opción de visualización"
"Style Color","Color del estilo"
"Show Brand Description","Mostrar descripción de la marca"
"Brand Search Settings","Configuración de búsqueda de marca"
"Show Search Block","Mostrar Bloque de Búsqueda"
"Min chars","Min Chars"
"Maximum Query Result","Resultado máximo de la consulta"
"Visible Image","Imagen visible"
"Featured Brand Settings","Configuración de la marca destacada"
"Show Featured Brands","Mostrar Marcas destacadas"
"Title","Título"
"Display Information","Mostrar Información"
"Embedded Code","Código Incrustado"
"Default Image","Imagen predeterminada"
"Default Image for Brand. If empty, the product placeholder default image will be used.<br />(jpg, jpeg, gif, png)","Imagen predeterminada para la marca. Si está vacía, se utilizará la imagen predeterminada del marcador de posición del producto.<br /> (jpg, jpeg, gif, png)"
"Default Block","Bloque por defecto"
"Show Brand Image On Brand Page","Mostrar imagen de marca en la página de marca"
"Show Brand Description On Brand Page","Mostrar Marca Descripción On Brand Page"
"Show Brand Static Block On Brand Page","Mostrar bloqueo estático de marca en la página de marca"
"Default Config","Configuración Predeterminada"
"All Category","Todas las Categorías"
