"Custom Registration","Registro Personalizado"
"Action","Acción"
"Save and Continue Edit","Guardar y Continuar Editando"
"Save Attribute","Guardar Atributo"
"Delete Attribute","Borrar Atributo"
"Edit Customer Attribute ""%1""","Edit Customer Attribute ""%1"""
"New Customer Attribute","New Customer Attribute"
"Attribute Properties","Attribute Properties"
"Default label","Default label"
"Attribute Code","Attribute Code"
"Make sure you don't use spaces or more than %1 characters.","Make sure you don't use spaces or more than %1 characters."
"Select Websites","Select Websites"
"Input Type for Store Owner","Input Type for Store Owner"
"Values Required","Valores Requeridos"
"Input Validation for Store Owner","Input Validation for Store Owner"
"Input Field Sort Order","Input Field Sort Order"
"Display Fields in Form","Display Fields in Form"
"Admin Customer Form","Admin Customer Form"
"Customer Account","Cuenta del Cliente"
"Registration Form","Planilla de Registro"
Status,Estatus
Enable,Habilitar
Disable,Deshabilitar
"Dependable Fields Properties","Dependable Fields Properties"
"This is used internally. Make sure you don't use spaces or more than %1 characters.","This is used internally. Make sure you don't use spaces or more than %1 characters."
"Media Image","Media Image"
File,Archivo
Dependable,Confiable
Radio,Radio
Gallery,Galería
"Attribute Information","Información del Atributo"
Properties,Propiedades
"Manage Labels","Manage Labels"
"Please select item(s).","Please select item(s)."
"A total of %1 record(s) have been updated.","A total of %1 record(s) have been updated."
Customregistration,Customregistration
"Manage Custom Fields","Manage Custom Fields"
"This attribute no longer exists.","This attribute no longer exists."
"This attribute cannot be edited.","This attribute cannot be edited."
"New Custom Attribute","Nuevo Atributo Personalizado"
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"Something went wrong.","Algo salió mal."
"Attribute code ""%1"" is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Attribute code ""%1"" is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter."
"An attribute code must not be less than %1 and more than %2 characters.","An attribute code must not be less than %1 and more than %2 characters."
" Dependable Attribute code ""%1"" is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter."," Dependable Attribute code ""%1"" is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter."
"Dependable Attribute code must not be less than %1 and more than %2 characters.","Dependable Attribute code must not be less than %1 and more than %2 characters."
"Attribute code ""%1"" is already exists.","Attribute code ""%1"" is already exists."
"You saved the custom attribute.","You saved the custom attribute."
"An attribute with this code already exists.","An attribute with this code already exists."
"An attribute with the same code (%1) already exists.","An attribute with the same code (%1) already exists."
"An dependable attribute with this code already exists.","An dependable attribute with this code already exists."
"An dependable attribute with the same code (%1) already exists.","An dependable attribute with the same code (%1) already exists."
"The value of Admin scope can't be empty.","The value of Admin scope can't be empty."
"$_FILES array is empty.","$_FILES array is empty."
"Edit Additional Account Information","Edit Additional Account Information"
"Please Fill all the Required Fields.","Please Fill all the Required Fields."
"Customer additional information saved successfully.","Customer additional information saved successfully."
"Page not found.","Page not found."
Text,Texto
HTML,HTML
"Text Area","Área de Texto"
Date,Fecha
Dropdown,Desplegable
"Multiple Select","Selección Múltiple"
"Radio Button","Boton de Radio"
"Dependable Field","Campo Confiable"
"Check Terms and Conditions & Privacy & Cookie Policy.","Check Terms and Conditions & Privacy & Cookie Policy."
"Custom Registration Fields","Custom Registration Fields"
Edit,Editar
"Allowed Extension","Extensiones Permitidas"
"Dependable Allowed Extension","Extensiones Confiables Permitidas"
"Manage Options (values of your attribute)","Administrar Opciones (valores de tu atributo)"
"Is Default","Is Default"
"Add Option","Agregar Opción"
"Sort Option","Sort Option"
Delete,Eliminar
"Order & Account Information","Order & Account Information"
"The order confirmation email was sent","The order confirmation email was sent"
"The order confirmation email is not sent","The order confirmation email is not sent"
"Order # %1","Order # %1"
"Order Date","Fecha del Pedido"
