"Save and Continue Edit","Guardar y Continuar Editando"
"Save Attribute","Guardar Atributo"
"Save Attribute","Guardar Atributos"
"Delete Attribute","Borrar Atributo"
"Vendor Attributes","Atributos del Vendedor"
"Edit Vendor Attribute ""%1""","Edit Vendor Attribute ""%1"""
"New Vendor Attribute","New Vendor Attribute"
"Attribute Properties","Attribute Properties"
"Default Label","Default Label"
"Attribute Code","Código del Atributo"
"Make sure you don't use spaces or more than 25 characters.","Make sure you don't use spaces or more than 25 characters."
"Frontend Input Type","Frontend Input Type"
"Values Required","Valores requeridos"
"Input Validation","Validación de Entrada"
"Input Field Sort Order","Input Field Sort Order"
"Assign Group","Asignar Grupo"
"Attribute Used For","Atributo Usado Para"
"Attribute Status","Estatus del Atributo"
Enable,Habilitar
Disable,Deshabilitar
"Media Image","Media Image"
File,Archivo
"Attribute Information","Attribute Information"
Properties,Propiedades
"Manage Labels","Manage Labels"
"Additional Information","Información Adicional"
"Allowed file types:","Tipos de archivo permitidos:"
Delete,Eliminar
Download,Descargar
"Sorry! No attributes are assigned to Customer.","Lo sentimos! No hay atributos asignados a tu perfil."
"Vendor Attribute Fields","Vendor Attribute Fields"
"Sorry! No attributes are assigned to Vendor.","Sorry! No attributes are assigned to Vendor."
"Save Group","Save Group"
"Vendor Group Information","Vendor Group Information"
"Attribute Label","Attribute Label"
"Group Information","Group Information"
"Group Name","Group Name"
Status,Estatus
"Group Details","Group Details"
"Attribute Group Information","Attribute Group Information"
"Assign Attributes","Asignar Atributo"
"Congratulations! Your seller account is created.","Congratulations! Your seller account is created."
"Your request to become seller is successfully raised.","Your request to become seller is successfully raised."
"Please confirm that you want to become seller.","Please confirm that you want to become seller."
"Shop URL already exist please set another.","URL de la Tienda ya existe, por favor escoge otra."
"Edit Additional Customer Information","Editar Información Adicional del Cliente"
"Vendor Required Attributes can't be Empty.","Vendor Required Attributes can't be Empty."
"Vendor Attributes has been saved.","Atributos del Vendedor han sido guardados."
"A total of %1 record(s) have been assigned.","Un total de %1 registro(s) han sido asignados."
"No group found.","No group found."
"A total of %1 record(s) have been deleted.","Un total de %1 registro(s) han sido eliminados."
"A total of %1 record(s) Status have been Disabled.","Un total de %1 registro(s) de Estatus han sido desahiblitados."
"A total of %1 record(s) have been enabled for Seller profile.","Un total de %1 registro(s) han sido habilitados para el Perfil del Vendedor."
Vendorattribute,Vendorattribute
"Manage Vendor Attribute","Administrar Atributo del Vendedor"
"This attribute no longer exists.","This attribute no longer exists."
"This attribute cannot be edited.","This attribute cannot be edited."
"Edit Vendor Attribute","Editar Atributos del Vendedor"
"New Attribute","Nuevo Atributo"
"A total of %1 record(s) Status has been Enabled.","Un total de %1 registro(s) de Estatus han sido habilitados."
"A total of %1 record(s) have been disabled for Seller Profile.","Un total de %1 registro(s) han sido desahiblitados para el Perfil del Vendedor."
"Manage Attribute","Administrar Atributo"
"A total of %1 record(s) have been updated.","Un total de %1 registro(s) han sido actualizados."
"You saved the vendor attribute.","Guardaste el atributo del vendedor."
"Attribute name ""%1"" is invalid. Please use only letters (a-z),
                    numbers (0-9) or underscore(_) in this field, first character
                    should be a letter.","Attribute name ""%1"" is invalid. Please use only letters (a-z),
                    numbers (0-9) or underscore(_) in this field, first character
                    should be a letter."
"The attribute ID already exists.","The attribute ID already exists."
"An attribute with this code already exists.","An attribute with this code already exists."
"An attribute with the same code (%1) already exists.","An attribute with the same code (%1) already exists."
"A total of %1 record(s) have been Saved.","Un total de %1 registro(s) han sido guardaddos."
Vendorgroup,Vendorgroup
"Manage Vendor Group","Manage Vendor Group"
"This group no longer exists.","Este grupo ya no existe."
"New Group","Nuevo Grupo"
"Manage Group","Administrar Grupo"
"A total of %1 record(s) have been removed.","A total of %1 record(s) have been removed."
"You saved this group","Guardaste este grupo"
"Something went wrong while saving the Attribute Group.","Se produjo un error al guardar el Grupo de Atributos."
"Page not found.","Página no encontrada."
Text,Texto
HTML,HTML
Yes,Si
No,No
Enabled,Habilitado
Disabled,Deshabilitado
"Invalid date","Fecha Inválida"
Select,Selecciona
Both,Ambos
Customer,Cliente
Seller,Vendedor
"Please Fill all the Required Fields.","Por favor Completa todos los Campos Obligatorios."
